naam;specs;cat;pref;backup;volgw;opm
kristal suiker (voor brood);;ontbijt;OKAY;SPAR;340;
kruidenboter;;melk;OKAY;SPAR;1220;
lasagne;;maaltijd;OKAY;SPAR;1750;
loempia;;maaltijd;OKAY;SPAR;1870;
look;;keuken;OKAY;SPAR;970;
lookpaste;;kruiden;OKAY;SPAR;499;
maaltijd Bea;;maaltijd;OKAY;SPAR;1740;
macaroni;;maaltijd;OKAY;SPAR;1730;
Magnum;;snack;OKAY;SPAR;2010;
mandarijntjes, geen doos, aan de...;;fruit;OKAY;SPAR;1640;
martini wit;;drank;OKAY;SPAR;43;
martino;;beleg;OKAY;SPAR;1150;
Mayo devos lemmens ei;;sausen ed;OKAY;SPAR;410;
mosterd;;sausen ed;OKAY;SPAR;420;
moussaka;;maaltijd;OKAY;SPAR;1740;
muesli (gedroogd fruit & granen);;ontbijt;OKAY;SPAR;90;
muizenoortjes;;groenten;OKAY;SPAR;1550;
nesquick;;drank;OKAY;SPAR;180;
nicola aardappelen 5 kilo;;keuken;OKAY;SPAR;1000;
nootjes;gezouten;snack;OKAY;SPAR;40;
oetker pizza;;maaltijd;OKAY;SPAR;1690;
olijfolie;;keuken;OKAY;SPAR;510;
ontkalker koffiezet;;onderhoud;OKAY;SPAR;190;
ontstopper;;logistiek;OKAY;SPAR;560;
ontvochtingszout;;logistiek;OKAY;SPAR;570;
oorstokjes;;persoonlijk;OKAY;SPAR;1030;
oude batterijen en bruisgasflessen leeg;;leeggoed;OKAY;;10;
paddestoelen;;groenten;OKAY;SPAR;1535;
pannenkoeken;;snack;OKAY;SPAR;1170;
philadelphia;;beleg;OKAY;SPAR;1230;
pickels;;sausen ed;OKAY;SPAR;430;
pims boni;;snack;OKAY;SPAR;200;
plat water contrex 2 à 4 flessen;;drank;OKAY;SPAR;910;
platte kaas vol 3 dozen;;beleg;OKAY;SPAR;1200;
platte kaasjes voor Louis;;melk;OKAY;SPAR;1760;
platte perziken;;fruit;OKAY;SPAR;1650;
prei veel wit;;groenten;OKAY;SPAR;1490;
pruimen;;groenten;OKAY;SPAR;2090;
raclettekaas;;beleg;OKAY;SPAR;1240;
red bull;;drank;OKAY;SPAR;950;
Regenereerzout vaatwas;;logistiek;OKAY;SPAR;670;
reinigingspray ruiten open haard;;logistiek;OKAY;SPAR;550;
ribbetjes;;vlees;OKAY;SPAR;1420;
rode ajuin;;keuken;OKAY;SPAR;1010;
room om ijskreem te maken;;melk;OKAY;SPAR;1250;
rozemarijn poedervorm;;kruiden;OKAY;SPAR;498;
salami & kaasblokjes;;snack;OKAY;SPAR;1160;
salami met look;;beleg;OKAY;SPAR;2100;
Samourai;;sausen ed;OKAY;SPAR;440;
scheermesjes mach3;;persoonlijk;OKAY;SPAR;2060;
schweppes mochitto;;drank;OKAY;SPAR;860;
schweppes zero;;drank;OKAY;SPAR;890;
servetten;;logistiek;OKAY;SPAR;750;
shampoo;;persoonlijk;OKAY;SPAR;900;
skyr;;melk;OKAY;SPAR;1800;
sla 3 kleuren met wortel;;groenten;OKAY;SPAR;1570;
soda-reiniger;;logistiek;OKAY;SPAR;640;
sodastream volle fles;;drank;OKAY;SPAR;450;
soepgroenten;;groenten;OKAY;SPAR;1910;
solo vloeibaar bak;;melk;OKAY;SPAR;1260;
spaghetti groenten;;groenten;OKAY;SPAR;1575;
spaghettigroenten 3 zakjes;;keuken;OKAY;SPAR;1700;
speculoos everyday;;snack;OKAY;SPAR;110;
speculoospasta;;ontbijt;OKAY;SPAR;120;
spek blokjes gerookt;;beleg;OKAY;SPAR;1110;
spek sneden;;beleg;OKAY;SPAR;1120;
spiering varken;;vlees;OKAY;SPAR;1460;
spitskool;;groenten;OKAY;SPAR;1590;
spoelmiddel vaatwas;;vaatwas;OKAY;SPAR;680;
spray dettol ajax;;logistiek;OKAY;SPAR;590;
spray schimmel voegen badkamer;;logistiek;OKAY;SPAR;600;
steradent waterleidingreiniger;;logistiek;OKAY;SPAR;650;
swifferdoekjes;;logistiek;OKAY;SPAR;710;
tabasco;;sausen ed;OKAY;SPAR;490;
tagliatelli;;keuken;OKAY;SPAR;350;
tandpasta;;persoonlijk;OKAY;SPAR;1070;
tomaten;;groenten;OKAY;SPAR;1510;
tomatenconcentraat;;keuken;OKAY;SPAR;370;
vaatwastabletten;;vaatwas;OKAY;SPAR;690;
vanilleijs;;snack;OKAY;SPAR;2020;
vers spek ongezouten sneetjes;;beleg;OKAY;SPAR;1130;
volle melk 12L;;drank;OKAY;SPAR;60;
voorgebakken frietjes;;keuken;OKAY;SPAR;1880;
wasmachinereiniger;;logistiek;OKAY;SPAR;610;
wasmiddel kleur;;was;OKAY;SPAR;520;
wasmiddel voor witte was;;was;OKAY;SPAR;530;
wasverzachter;;was;OKAY;SPAR;540;
wc cleaner met klem op wc pot;;logistiek;OKAY;SPAR;700;
WC papier;;logistiek;OKAY;SPAR;760;
wenskaarten;;special;OKAY;SPAR;960;
wit caréken;;brood;OKAY;SPAR;1840;
witloof;;groenten;OKAY;SPAR;1520;
witte wijn azijn;;keuken;OKAY;SPAR;500;
wortelen;;groenten;OKAY;SPAR;1560;
yoghurt;;melk;OKAY;SPAR;1770;
yoghurt natuur witte producten 1/2L;;melk;OKAY;SPAR;1780;
zalm;;vis;OKAY;SPAR;1340;
zout;;sausen ed;OKAY;SPAR;360;
zwarte schoensmeer;;logistiek;OKAY;SPAR;460;
zwarte vuilzakken;;logistiek;OKAY;SPAR;630;
zwarte vuilzakken;;logistiek;OKAY;SPAR;780;
