naam;specs;cat;pref;backup;volgw;opm;eenheid;stap
aluminium folie;;logistiek;OKAY;SPAR;960;;verp;1
evian Louis water;;drank;OKAY;SPAR;970;;verp;1
fanta zero;;drank;OKAY;SPAR;980;;blik;6
gini;;drank;OKAY;SPAR;990;;blik;1
ice tea;;drank;OKAY;SPAR;1000;;blik;1
schweppes mochitto;;drank;OKAY;SPAR;1010;;blik;1
cola 6 blikjes (gewone);;drank;OKAY;SPAR;1020;;blik;1
cola zero;;drank;OKAY;SPAR;1030;;blik;1
schweppes zero;;drank;OKAY;SPAR;1040;;blik;1
shampoo;;persoonlijk;OKAY;SPAR;1050;;verp;1
plat water contrex;;drank;OKAY;SPAR;1060;;fles;1
bruisend water bru;;drank;OKAY;SPAR;1070;;fles;1
jupiler;;drank;OKAY;SPAR;1080;;blik;1
fles bruin piedboeuf;;drank;OKAY;SPAR;1090;;fles;1
red bull;;drank;OKAY;SPAR;1100;;blik;1
wenskaarten;;special;OKAY;SPAR;1110;;stuk;1
look;;kruiden;OKAY;SPAR;1120;;zak;1
aardappelen bloem aardappelen;;keuken;OKAY;SPAR;1130;;zak;1
ajuin;;basis_ingrediënt;OKAY;SPAR;1140;;zak;1
nicola aardappelen 5 kilo;;basis_ingrediënt;OKAY;SPAR;1150;;zak;1
rode ajuin;;basis_ingrediënt;OKAY;SPAR;1160;;zak;1
betterfood;;ontbijt;OKAY;SPAR;1170;;doos;1
oorstokjes;;persoonlijk;OKAY;SPAR;1180;;verp;1
after sun voor kinderen;;persoonlijk;OKAY;SPAR;1190;;fles;1
handwaszeep;;persoonlijk;OKAY;SPAR;1200;;fles;1
douchegel;;persoonlijk;OKAY;SPAR;1210;;fles;1
tandpasta;;persoonlijk;OKAY;SPAR;1220;;tube;1
bananen;;fruit;OKAY;SPAR;1230;;stuk;1
baton dunne salami worst;;snack;OKAY;SPAR;1240;;stuk;1
Houtskool;;logistiek;OKAY;SPAR;1250;;zak;1
spek blokjes gerookt;;ontbijt;OKAY;SPAR;1260;;verp;2
spek sneden;;ontbijt;OKAY;SPAR;1270;;verp;1
vers spek ongezouten sneetjes;;ontbijt;OKAY;SPAR;1280;;verp;1
americain prepare;;beleg;OKAY;SPAR;1290;;verp;1
cervela;;snack;OKAY;SPAR;1300;;verp;1
salami met look;;beleg;OKAY;SPAR;1310;;verp;1
martino;;beleg;OKAY;SPAR;1320;;verp;1
Kip curry;;beleg;OKAY;SPAR;1330;;verp;1
Noordzee sla;;beleg;OKAY;SPAR;1340;;verp;1
kaas;;melkproduct;OKAY;SPAR;1350;;afhangkelijk;1
effi of becel;;ontbijt;OKAY;SPAR;1360;;doos;1
platte kaas vol 3 dozen;;beleg;OKAY;SPAR;1370;;doos;1
eieren;;basis_ingrediënt;OKAY;SPAR;1380;;stuk;1
lookboter;;melkproduct;OKAY;SPAR;1390;;verp;1
philadelphia;;melkproduct;OKAY;SPAR;1400;;verp;1
verse roomkaas;;melkproduct;OKAY;SPAR;1405;;verp;1
raclettekaas;;melkproduct;OKAY;SPAR;1410;;verp;1
room om ijskreem te maken;;melkproduct;OKAY;SPAR;1420;;verp;1
solo vloeibaar bak;;melkproduct;OKAY;SPAR;1430;;fles;1
boter;;melkproduct;OKAY;SPAR;1440;;verp;1
gorgonzola;;melkproduct;OKAY;SPAR;1460;;verp;1
Fondue enkel opwarmen;;maaltijd;OKAY;SPAR;1470;;verp;1
gemalen kaas;;melkproduct;OKAY;SPAR;1480;;zak;1
cesar salad;;maaltijd;OKAY;SPAR;1490;;verp;1
droge worstjes;;snack;OKAY;SPAR;1500;;verp;1
zalm;;vis;OKAY;SPAR;1510;;verp;1
kabeljauw (geen haasje);;vis;OKAY;SPAR;1520;;verp;1
Kip;;kip;OKAY;SPAR;1530;;verp;1
kippegehakt;;kip;OKAY;SPAR;1540;;verp;1
gyros kip;;kip;OKAY;SPAR;1550;;verp;1
kip fillet;;kip;OKAY;SPAR;1560;;verp;1
entrecote rund;;vlees;OKAY;SPAR;1570;;verp;1
americain natuur;;beleg;OKAY;SPAR;1580;;verp;1
dikke ribbetjes;;vlees;OKAY;SPAR;1590;;verp;1
contrefillet rund;;vlees;OKAY;SPAR;1600;;verp;1
ribbetjes;;vlees;OKAY;SPAR;1610;;verp;1
gehakt gemengd rund varken;;vlees;OKAY;SPAR;1620;;gram;500
gehakt varken kalf voor de boterh...;;beleg;OKAY;SPAR;1630;;gram;200
gehakt voor balletjes gemeng...;;vlees;OKAY;SPAR;1650;;gram;500
spiering varken;;vlees;OKAY;SPAR;1660;;verp;1
cordon bleu;;vlees;OKAY;SPAR;1670;;verp;1
prei veel wit;;groenten;OKAY;SPAR;1680;;stuk;1
komkommer;Molly;groenten;OKAY;SPAR;1690;;stuk;1
tomaten;;groenten;OKAY;SPAR;1700;;stuk;1
witloof;;groenten;OKAY;SPAR;1710;;stuk;1
paddestoelen;;groenten;OKAY;SPAR;1730;;verp;1
chili pepers;;groenten;OKAY;SPAR;1740;;verp;1
muizenoortjes;;groenten;OKAY;SPAR;1750;;verp;1
wortelen;;groenten;OKAY;SPAR;1760;;verp;1
